0,000993	-0,691818
0,001987	-0,450069
0,002980	-0,243677
0,003974	-0,001106
0,004967	-0,107673
0,005960	-0,355014
0,006954	-0,567983
0,007947	-0,798056
0,008940	-0,782268
0,009934	-0,520456
0,010927	-0,303539
0,011921	-0,081031
0,012914	-0,035642
0,013907	-0,282324
0,014901	-0,475888
0,015894	-0,688693
0,016887	-0,851175
0,017881	-0,607946
0,018874	-0,367183
0,019868	-0,154543
0,020861	0,040666
0,021854	-0,199932
0,022848	-0,419809
0,023841	-0,632778
0,024835	-0,900182
0,025828	-0,686884
0,026821	-0,438228
0,027815	-0,234304
0,028808	-0,004231
0,029801	-0,120665
0,030795	-0,356987
0,031788	-0,544302
0,032782	-0,842952
0,033775	-0,769112
0,034768	-0,510753
0,035762	-0,310117
0,036755	-0,078564
0,037749	-0,024787
0,038742	-0,271306
0,039735	-0,480000
0,040729	-0,748884
0,041722	-0,851997
0,042715	-0,590185
0,043709	-0,386260
0,044702	-0,153720
0,045696	0,052507
0,046689	-0,198123
0,047682	-0,413889
0,048676	-0,656624
0,049669	-0,895578
0,050662	-0,675701
0,051656	-0,468488
0,052649	-0,234632
0,053643	0,015504
0,054636	-0,108824
0,055629	-0,348435
0,056623	-0,564530
0,057616	-0,814666
0,058610	-0,791149
0,059603	-0,539697
0,060596	-0,294494
0,061590	-0,062612
0,062583	-0,041726
0,063576	-0,274266
0,064570	-0,477368
0,065563	-0,724380
0,066557	-0,849859
0,067550	-0,610741
0,068543	-0,386425
0,069537	-0,141551
0,070530	0,016655
0,071524	-0,170330
0,072517	-0,396950
0,073510	-0,646099
0,074504	-0,893440
0,075497	-0,687213
0,076490	-0,438557
0,077484	-0,216049
0,078477	-0,048798
0,079471	-0,109153
0,080464	-0,321465
0,081457	-0,570450
0,082451	-0,810719
0,083444	-0,755133
0,084437	-0,531310
0,085431	-0,300908
0,086424	-0,101753
0,087418	-0,045180
0,088411	-0,266372
0,089404	-0,505326
0,090398	-0,738852
0,091391	-0,844268
0,092385	-0,618471
0,093378	-0,386589
0,094371	-0,167699
0,095365	0,024220
0,096358	-0,196150
0,097351	-0,436419
0,098345	-0,657447
0,099338	-0,873376
0,100332	-0,692476
0,101325	-0,464705
0,102318	-0,226081
0,103312	-0,013440
0,104305	-0,118856
0,105299	-0,364388
0,106292	-0,571437
0,107285	-0,802989
